acctno,mail_1,mail_2,mail_3,mail_4,mail_5,mail_6,mail_7,mail_8,mail_9,mail_10,mail_11,mail_12,mail_13,mail_14,mail_15,mail_16
SGPHLHL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SGPHGGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGPDYLA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SGLQPHQ,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SGLWAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGLAHAP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGLAHAP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGLHDGA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGGLGSL,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0
SGDGDYG,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1
SHWHGDW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SHAPQLW,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
SHAPGDH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SHSAWPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SHSLYQQ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
SHSYWSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SHPSAGH,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SHLAGYQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SHLPDHL,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SHLLQAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SHLLSLA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
SHGPWWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SHGPYPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SHHQSAY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SHHHDAH,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1
SHYGLSQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SHYDALA,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1
SYDQDDS,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1
SDQYDLW,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1
SDWWPHG,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1
SDPADAH,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1
SDLPSQA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
SDHGYQQ,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1
PQDWLGH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PQDAHYD,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PWQQDQL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PWAQHWS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PWHWHPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PAPPLHQ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
PSSHQYL,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
PSHQAHG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PSDWHSG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PSDPADA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PSDDPHS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PPSSGQS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PLDWHQH,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1
PHQYQHD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PHWQHDP,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1
PHPDYQQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PHGDHPW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PHHLGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PHYQDYH,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
PHYSPLA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHYHDDQ,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
PHDQWWD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PHDQPPQ,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1
PHDQLLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PHDQDSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PHDWDQW,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
PHDAQWG,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
