AIRPORT_ID	AIRPORT_NAME	AIRPORT_CITY	AIRPORT_STATE	AIRPORT_COUNTRY	ICAO	LCHG_DATE	RECORD_STATUS	Record_End
KS38	EXECUTIVE HILLS SOUTH                             	OVERLAND PARK         	KS	  	 	09/26/2002	I	 
KS39	BALDOCK FARM                                      	DELPHOS               	KS	  	N	12/02/1999	I	 
KS4 	RED LAKE ONT,WATER AERODROME                      	RED LAKE ONT          	  	CA	 	04/19/1990	A	 
KS40	OLSON AERODROME                                   	DERBY                 	KS	  	N	12/02/1999	I	 
KS41	ZIGGY CARLINE                                     	GIRARD                	KS	  	N	12/02/1999	I	 
KS42	KELLYS LANDING                                    	EDWARDSVILLE          	KS	  	 	09/26/2002	I	 
KS43	STRAFUSS                                          	EFFINGHAM             	KS	  	N	12/02/1999	I	 
KS44	BOB FALER                                         	ELK CITY              	KS	  	N	12/02/1999	I	 
KS45	MICHAEL'S                                         	LAWRENCE              	KS	  	N	12/02/1999	I	 
KS46	OLSON FIELD                                       	ERIE                  	KS	  	 	09/26/2002	I	 
KS47	CONVERSE FARM                                     	ESKRIDGE              	KS	  	N	12/02/1999	I	 
KS48	MOORE FIELD                                       	BYERS                 	KS	  	N	12/02/1999	I	 
KS49	WILKENS                                           	HEALY                 	KS	  	N	12/02/1999	I	 
KS5 	DAVIDSON SASK,SECONDARY AERODROME                 	DAVIDSON SASK         	  	CA	 	04/19/1990	A	 
KS50	MCMC                                              	PITTSBURG             	KS	  	N	12/02/1999	I	 
KS51	MEITL                                             	DRESDEN               	KS	  	N	12/02/1999	I	 
KS52	PILOT POINTE ESTATES                              	DOUGLASS              	KS	  	N	12/02/1999	I	 
KS53	BONNER FIELD                                      	FREDONIA              	KS	  	N	12/02/1999	I	 
KS54	HUMANA HOSPITAL                                   	OVERLAND PARK         	KS	  	N	12/02/1999	I	 
KS55	R J C FARMS INC                                   	FRIEND                	KS	  	N	12/02/1999	I	 
KS56	MERCY HOSPITAL                                    	FORT SCOTT            	KS	  	N	12/02/1999	I	 
KS57	WITHAM                                            	OTTAWA                	KS	  	N	12/02/1999	I	 
KS58	FOSTER FIELD                                      	EL DORADO             	KS	  	N	12/02/1999	I	 
KS59	HERMON FARM                                       	GARDNER               	KS	  	N	12/02/1999	I	 
KS6 	WINNIPEGOSIS MAN,WATER AERODROME                  	WINNIPEGOSIS MAN      	  	CA	 	04/19/1990	A	 
KS60	LCF                                               	LANSING               	KS	  	N	12/02/1999	I	 
KS61	YODER AIRPARK                                     	GODDARD               	KS	  	N	12/02/1999	I	 
KS62	NATIONAL                                          	GAS                   	KS	  	 	09/26/2002	I	 
KS63	MILLER FARM                                       	GODDARD               	KS	  	 	09/26/2002	I	 
KS64	ECK FIELD                                         	GODDARD               	KS	  	N	12/02/1999	I	 
KS65	LAKE WALTANNA                                     	GODDARD               	KS	  	 	09/26/2002	I	 
KS66	BEESLEY FARMS                                     	GOVE                  	KS	  	N	12/02/1999	I	 
KS67	BUTTON                                            	GREAT BEND            	KS	  	N	12/02/1999	I	 
KS68	LIL BIRD                                          	VALLEY CENTER         	KS	  	N	12/02/1999	I	 
KS69	EMMERSON                                          	HAMMOND               	KS	  	N	12/02/1999	I	 
KS7 	WADENA SASK,SECONDARY AERODROME                   	WADENA SASK           	  	CA	 	04/19/1990	A	 
KS70	KAYPOD                                            	HARPER                	KS	  	N	12/02/1999	I	 
KS71	BOB PARK                                          	HARPER                	KS	  	N	12/02/1999	I	 
KS72	GRAHAM FARMS                                      	HARRIS                	KS	  	N	12/02/1999	I	 
KS73	STECKLEIN OIL COMPANY                             	HAYS                  	KS	  	 	09/26/2002	I	 
KS74	HAYS MEDICAL CENTER                               	HAYS                  	KS	  	N	12/02/1999	I	 
KS75	SOMMERS                                           	HIGHLAND              	KS	  	N	12/02/1999	I	 
KS76	SUNFLOWER AERODROME                               	HUTCHINSON            	KS	  	N	12/02/1999	I	 
KS77	JOHNS                                             	JOHNSON               	KS	  	N	12/02/1999	I	 
KS78	SVOBODA                                           	BUCYRUS               	KS	  	N	12/02/1999	I	 
KS79	MUNICIPAL OFFICE BLDG                             	KANSAS CITY           	KS	  	N	12/02/1999	I	 
KS80	GIRARD DISTRICT HOSPITAL                          	GIRARD                	KS	  	N	12/02/1999	I	 
KS81	HANCOCK                                           	PIPER                 	KS	  	N	12/02/1999	I	 
KS82	NEWMAN MEMORIAL COUNTY HOSPITAL                   	EMPORIA               	KS	  	 	09/26/2002	I	 
KS83	HIGHCREST AIR PARK                                	LANSING               	KS	  	N	12/02/1999	I	 
KS84	BLASER'S                                          	LEAVENWORTH           	KS	  	N	12/02/1999	I	 
KS85	FOX FIRE                                          	WELLSVILLE            	KS	  	N	12/02/1999	I	 
KS86	ARROW B RANCH                                     	LEOTI                 	KS	  	 	09/26/2002	I	 
KS87	SUPREME FEEDERS                                   	LIBERAL               	KS	  	N	12/02/1999	I	 
KS88	CROSSWIND AIRFIELD                                	LOUISBURG             	KS	  	N	12/02/1999	I	 
KS89	SOMERSET                                          	LOUISBURG             	KS	  	N	12/02/1999	I	 
KS90	D'FIELD                                           	MC LOUTH              	KS	  	N	12/02/1999	I	 
KS91	GODFREY                                           	MADISON               	KS	  	N	12/02/1999	I	 
KS92	SUNSHINE RANCH                                    	MANHATTAN             	KS	  	N	12/02/1999	I	 
KS93	DICKSON /PVT/                                     	MILLER                	KS	  	 	09/26/2002	I	 
KS94	AMY                                               	MINNEOLA              	KS	  	N	12/02/1999	I	 
KS95	ROBERTS AIR FIELD                                 	SYLVIA                	KS	  	N	12/02/1999	I	 
KS96	KENNEDY                                           	MINNEOLA              	KS	  	N	12/02/1999	I	 
KS97	BROLLIER                                          	MOSCOW                	KS	  	N	12/02/1999	I	 
